image	face	body	object	scene	animacy
main_scene_83	418.18559699641776	473.4596676977344	160.38980241632657	146.3020709545629	426.3669472799559
main_scene_84	475.84076116482345	393.9979610007482	204.99876180837043	238.5020587567668	375.8485999935434
main_scene_85	389.49823903074946	460.68527272537756	343.117709048347	308.2869575651729	356.61916467263643
main_scene_86	446.65451654670846	399.2382542799618	307.36456380614027	213.39830741623064	334.4828644771392
main_scene_87	434.6056131303301	422.47028960219984	262.41964844895756	320.11755543192953	309.5264016343931
main_scene_88	432.30084032418665	403.73022069214187	247.94815627739496	299.99202117379957	334.16327877538714
main_scene_89	421.8380548841427	476.5833579128623	168.18850480329618	296.4326577666085	373.25880298028335
main_scene_90	455.09952660462307	399.61152459947664	277.50595444855134	366.7429233392234	332.2424334269948
main_scene_91	450.3324006358675	436.5371043701238	305.4487959038385	196.29313331739576	370.8822930339491
main_scene_92	507.32401769776595	333.7513798785523	197.7892307002963	264.9284316323136	197.50102427812433
main_scene_93	298.0580108765515	383.7158428006335	237.15739227835576	195.87714169826006	381.8328756851795
main_scene_94	421.7542282908961	487.03023768628725	254.14936925761526	197.43145341137412	407.26912570263164
main_scene_95	481.9470793957176	366.25695105566257	217.42454000552567	172.93900541307582	369.7976957289878
main_scene_96	401.61691221094156	355.45323890343684	145.72972071190682	192.04678687893482	362.08846273005906
main_scene_97	466.1394958677066	414.447576994389	111.66490938981389	249.97472984150488	303.8491299771721
main_scene_98	477.4665129164048	412.97375719008016	229.6301826947279	215.04004130587282	340.3984810771362
main_scene_99	440.9408480480629	389.82045224239715	345.0118846857431	197.06722406280335	328.91570331045983
main_scene_100	395.55664253915984	304.05665363766	141.0632509071536	187.33290633811043	390.7447719983397
main_body_101	446.7859798801277	281.0256924723272	350.57469955063453	420.47832770000855	303.50995231945507
main_body_102	436.33462489519906	237.46233814149903	383.67828654639135	115.32259502560825	256.75839862584246
main_body_103	302.8321225775548	228.29061366740297	160.3210189272126	376.17957071497034	267.65633506976496
main_body_104	480.32992272421177	260.37347595753533	341.71635053379083	375.4656218930338	340.2517044866718
main_body_105	388.5628229351548	282.95708919764394	314.6148381439766	372.2864482631235	313.4739107022725
main_body_106	386.9695515980746	260.4514472014724	349.73303747576114	393.63786003302755	283.7132090497612
main_body_107	368.10754667493086	279.7932564326634	334.1326039127574	448.8864848584155	218.1668304161099
main_body_108	471.6961261451694	273.07786590316346	380.3633702366429	427.3332209800111	338.3673304504042
main_body_109	354.7293565609072	290.03780099811075	291.64092784719963	426.03288810115043	294.7331163631802
main_body_110	501.8016797143398	284.1006000271287	311.027978561197	379.80704396231647	373.4005418142286
main_body_111	424.86425537354177	266.4484812550578	364.20675060129525	364.16738519661294	328.26485418277247
main_body_112	461.6661605851303	217.55292559132494	327.16766789395695	395.7097894259838	318.71277168766557
main_body_113	424.35941703519677	293.58289155047106	269.7608171122022	351.4636599612114	287.1027807309266
main_body_114	491.59768820717795	292.79079912142737	326.001591975083	467.1381421454972	300.69706152479307
main_body_115	510.40917715199436	327.466953137888	313.96731916285887	412.19907134943264	286.61406330494
main_body_116	400.0497528882402	279.1424081856203	375.80402935942664	296.6624633901254	321.16780558811337
main_body_117	416.5398733226725	277.7668652975889	337.0223993258321	447.90525749424137	298.180591584627
main_body_118	437.18512764050223	273.8135612562206	336.72497873859675	325.22191645055426	283.8100834945609
main_body_119	469.2867057406056	278.3121812043406	323.9765867906448	321.80236030112906	257.82601253840346
main_body_120	256.23263092946945	287.3579721801457	357.2823514012984	435.63541940588277	314.63289423738354
main_body_121	228.69472660739643	313.53860425885756	320.7813035418939	452.5969631703691	315.47795397339524
main_body_122	451.8318011456512	263.2261354677115	271.9457515905742	334.1794535618178	214.25352583480597
main_body_123	419.19509724569224	261.2324443387676	295.63377374968695	420.96165208860805	314.224559838275
main_body_124	461.28649926712046	235.77819259973796	373.57418481618515	382.1700675494245	341.5230482892574
main_body_125	358.34878506207974	334.39081409813195	408.4168984222844	386.8868737425919	361.11716070135907
main_scene_126	428.4755653482214	433.89613221865636	384.5489984621279	404.8559906965653	420.6872924582571
main_scene_127	420.4068773258357	388.1675838387322	244.0814107202944	306.5542443848812	329.3171386134683
main_scene_128	503.8029766265324	444.62175862278053	306.4959715619465	325.02568992847546	313.14428939963096
main_scene_129	439.2141881772255	433.87814848379384	266.7512541580799	146.4065949554377	342.17482630955004
main_scene_130	356.7032585256426	429.0771493149213	332.52968396027757	312.3320676460199	324.38576765241646
main_scene_131	481.43048393723035	377.9668439111092	229.2514962414724	242.6657066351745	317.97526312090855
main_scene_132	345.7513750397622	386.65497445754494	252.50787159042662	273.88473648114785	309.8267007155897
main_scene_133	508.4439194273272	452.91774957604474	277.0796361746055	272.2913224696729	408.68751408641856
main_scene_134	407.2743238854186	427.5243893431377	314.44810984863096	264.98417140680584	393.86740623691617
main_scene_135	438.99420823954557	438.74737822912454	258.2480881501391	310.105244534457	329.06924234046835
main_scene_136	443.0583089059186	408.9333889312514	170.166145609215	188.9055559013054	349.43579795090403
main_scene_137	346.62561326392716	413.1710273071772	184.49919700125398	195.83041513380698	372.95454872742323
main_scene_138	494.4854962084939	423.80062285690275	296.53659639165204	87.15936818198963	321.9428316365303
main_scene_139	507.30968472985273	420.20647980927276	256.11725883538423	195.4798067057039	358.8084279890947
main_scene_140	368.6746486813114	458.5786126441981	256.65180641131684	257.40410083644593	378.66173323586185
main_scene_141	521.36055401681	434.52682313265086	247.6116048250362	167.74081665909608	346.3735048862163
main_scene_142	457.4704406031913	401.92288584246506	212.04043304846564	183.54422362948418	363.9057530426909
main_scene_143	435.37771368812497	357.6414359103526	366.0114944694137	282.2268022086742	369.18862403298
main_scene_144	452.49426298347083	437.6366409618524	255.29219495705854	336.50797392823915	369.9427084414654
main_scene_145	483.79266208893637	477.39145304377996	340.2596630848791	343.96967362189855	374.2456804193737
main_scene_146	458.1939704081938	412.81757564522	290.6161298678572	198.4437921105263	390.491705281359
main_scene_147	455.1433773816923	366.0902453616044	284.11713418059657	210.83734389742122	338.468983994573
main_scene_148	529.5453176334645	401.689934158674	346.1117236739731	334.1957459424909	307.1589329303391
main_scene_149	386.3167592481785	500.94530340261815	346.77011187054876	344.3509262009524	359.1299242296926
main_scene_150	406.82249256008004	383.5226611215974	320.551820645121	364.6714062014992	351.7231588695741
main_object_151	394.39737057328966	164.01053530108896	255.25562712719884	339.43435432583027	183.6474446996759
main_object_152	462.3604984223473	478.70249411937664	124.80892567000964	274.0433296314214	311.87541905554656
main_object_153	487.9035949888204	359.19449793772407	293.75894953260627	398.51118989025235	340.4170714861033
main_object_154	458.6681879052665	341.0570254086663	316.9508402800075	456.1637231776101	383.8283996243754
main_object_155	354.9199223181565	389.6675348786923	211.20545400910027	316.32525125012563	310.34881731231883
main_object_156	515.7020255784538	367.6900230957581	176.99172883491386	414.2779022220736	335.5316047666061
main_object_157	438.1379565221074	372.2343346102226	291.52038190215467	382.36656908152355	334.7787486522637
main_object_158	455.91260543937557	376.3802121239238	279.0571594970051	386.15914589848524	283.5730896852053
main_object_159	417.50249354811416	449.5466503935546	245.02371853177124	342.5165088180402	341.5758448620235
main_object_160	471.8520124066842	423.18039407687223	217.72604615730498	279.3916125396939	421.526116721376
main_object_161	431.9911881320504	349.42075775445016	211.797590205267	397.46899600968044	311.49207189664105
main_object_162	465.55843838126714	415.5694762517992	203.42155223809664	359.64753739411617	343.84755639922423
main_object_163	473.2479007530637	381.4479960419193	263.3737183009583	405.60635319663675	321.41123929300227
main_object_164	420.77350653664826	361.45172897412476	284.6336333329496	405.1623806184329	304.7133504506682
main_object_165	495.9811996153169	488.20373926356007	265.00451451587867	350.4336073273128	305.67304543526683
main_object_166	399.3425251799109	423.7513080624298	284.9348597040496	360.0214901431906	360.9454182866392
main_object_167	508.7974657356285	421.9252545281152	151.0250544673558	460.8013220993642	278.0974279278153
main_object_168	446.8115670117495	403.3034422473022	76.91338149207878	281.72309013957175	295.0766483727699
main_object_169	487.45681201590276	374.66980992975186	152.66816049071835	118.57297070734833	334.92952522225687
main_object_170	495.4720390911511	425.6554911848545	241.33703038395748	341.0302807079581	312.90715743541557
main_object_171	375.6447229849535	379.6637102377225	317.0221072177314	239.83062879985047	351.4997665434993
main_object_172	462.0060481415159	361.43489464575526	228.43412976162807	330.62674039724845	378.45396903449773
main_object_173	331.9790174631609	444.08849172404166	230.4116321560195	280.38710428079344	327.81833015981226
main_object_174	431.7806408107763	374.4729211920273	148.9866718551114	298.1766048225653	336.33518715150205
main_object_175	451.47830015862604	410.54150666177463	128.46612065541598	352.8196916438461	275.56887917271865
main_object_176	506.62182253377784	457.1375259588214	196.70382894957726	391.51793726980014	352.888731059397
main_object_177	453.85276497796144	302.4717336051659	214.07087803777154	383.16929193063777	237.99522277739172
main_object_178	412.30629251064363	472.28823048809	166.26356840242434	297.1978621121156	381.67761752496983
main_object_179	387.5473925829212	384.9897656968023	296.7057007330111	328.1204330331072	395.7179584796289
main_object_180	482.22376860859896	249.90781667773257	222.18964484962103	308.2810526758592	250.26745248160734
main_object_181	381.6915070805764	370.89019626863774	120.0921725598602	345.90052618330384	303.05256594560507
main_object_182	498.5771923980577	413.8423093922355	161.01255797864627	293.9988103593531	406.2778934745982
main_object_183	477.0634366451884	296.869782385584	231.23507241508474	296.86974870035556	407.6797124142639
main_object_184	360.019541082298	283.02764841269993	243.53762963388198	399.98561923133565	335.3363157621917
main_object_185	457.37475910121105	368.91315661488784	219.26274070760462	443.0475372562903	290.92559307772495
