image	ffa	eba	ppa	ofa
main_scene_86	-0.819153031	-1.007970238	0.847991373	-0.652706309
main_scene_87	-1.021527252	-0.986046547	0.981147448	-0.728019971
main_scene_88	-1.060493311	-0.757437925	0.780759921	-0.39720678
main_scene_89	-1.006257497	-1.025982934	1.592124475	-0.651564714
main_scene_90	-0.894060582	-0.971612682	1.236847125	-0.984997134
main_scene_91	-1.058216657	-1.033179059	1.458739222	-0.615423687
main_scene_92	-0.707490949	-0.354430267	0.080385482	-0.884879524
main_scene_93	-0.919137496	-0.911703961	1.019450821	-0.683824193
main_scene_94	-0.965125708	-0.97322326	1.082655312	-0.84608471
main_scene_95	-0.929337937	-0.936651033	1.229181126	-0.693429315
main_scene_96	-0.878351105	-0.860717376	1.286274905	-0.69077368
main_scene_97	-0.875986694	-0.324082453	0.496448767	-1.049424738
main_scene_98	-1.141113938	-0.897250142	1.649987918	-0.821258435
main_scene_99	-1.297653462	-1.163052849	0.336236405	-1.325494452
main_scene_100	-1.305026909	-0.953502671	1.290963949	-1.471538322
main_body_101	-0.760413118	-0.100304373	-0.128043877	-0.562178207
main_body_102	-0.189341273	0.609835856	0.687085102	-0.627509502
main_body_103	0.032828329	1.164394705	-0.499269077	-0.18011206
main_body_104	-0.12539282	1.299179722	-0.272112634	-0.345774139
main_body_105	-0.436264128	0.482985482	-0.025554046	-0.260249518
main_body_106	-0.230360346	-0.361884747	0.102094623	0.022074062
main_body_107	-0.448126757	1.255475147	-0.326643413	-0.575753812
main_body_108	-0.500839088	0.807176795	-0.760587109	-0.120512419
main_body_109	-0.330735631	0.485865226	-0.142409369	-0.383871795
main_body_110	-0.233264096	0.849516454	-0.049783403	-0.290556913
main_body_111	-0.101053403	0.542013536	-0.46853041	0.039558249
main_body_112	-0.733794601	0.236287259	-0.487971808	-0.580010411
main_body_113	-0.594486683	0.568840571	0.22175109	-0.496511875
main_body_114	-0.56660137	-0.211786629	-0.203761379	-0.216979163
main_body_115	-0.559163412	1.325122909	-0.718260321	-0.030322316
main_body_116	-0.374631074	1.016234077	-0.600108825	-0.138485946
main_body_117	-0.534701825	1.072879588	-0.381464685	0.02448982
main_body_118	-0.546512417	0.252279131	0.176550239	-0.23868543
main_body_119	-0.249435139	1.133889188	-0.062861698	-0.16466508
main_body_120	-0.065965927	-0.075796113	-0.975100465	0.058745437
main_body_121	0.164260207	-0.104312039	-0.965539977	0.099790059
main_body_122	-0.636934735	0.764409984	-0.490615984	-0.460423589
main_body_123	-0.373937158	0.770993724	-0.531892063	0.097836984
main_body_124	-0.352944467	0.770306455	-0.45959127	0.10783606
main_body_125	-0.083391592	0.356636428	-0.357562557	0.227043019
main_scene_126	-1.368261124	-1.245563356	1.159230132	-1.6401533
main_scene_127	-0.803705173	-0.541951206	0.626329	-1.142166516
main_scene_128	-1.108990557	-1.205097341	0.685214872	-1.031147526
main_scene_129	-0.784236983	-1.041871942	0.934567066	-0.833518947
main_scene_130	-1.061870587	-0.864942314	0.737878403	-1.086997587
main_scene_131	-1.060542357	-0.50519367	0.878440945	-0.971652817
main_scene_132	-1.34153756	-1.241260417	1.223836592	-1.450306358
main_scene_133	-1.39519305	-1.347657504	1.543043271	-1.199397632
main_scene_134	-1.135404198	-1.070584274	1.325626578	-1.149508772
main_scene_135	-1.377004496	-1.232535626	1.1116776	-1.351068026
main_scene_136	-1.221090822	-0.745441553	1.309760435	-1.10153064
main_scene_137	-0.922578028	-0.922223079	1.492614707	-0.819888881
main_scene_138	-1.174209074	-1.273014253	1.259589547	-1.123963805
main_scene_139	-1.352118268	-1.247257614	1.242237555	-1.137561956
main_scene_140	-1.174866759	-1.095633474	1.075851108	-1.16451392
main_scene_141	-0.889579545	-1.390508142	1.545106878	-0.940473438
main_scene_142	-1.204744943	-0.87981195	0.896742349	-0.898916894
main_scene_143	-1.289203261	-1.362283444	1.261524366	-1.575696579
main_scene_144	-1.270453588	-0.948067206	0.8491656	-0.963052157
main_scene_145	-1.021003244	-1.231607574	0.695515857	-1.126893938
main_scene_146	-1.135900358	-0.939846973	1.351859843	-0.687488316
main_scene_147	-1.284138946	-1.392881388	1.331809091	-0.935719575
main_scene_148	-1.140241967	-1.23178794	0.570899302	-1.185356681
main_scene_149	-1.109376228	-1.08623644	1.281356181	-1.210494181
main_scene_150	-1.218190743	-1.28069135	0.657953287	-1.099639694
main_object_151	-0.513039825	0.266138531	-0.143147734	0.047169153
main_object_152	-0.225795623	-0.661416889	0.373760353	0.095531557
main_object_153	-1.015152844	-1.160770795	-0.052086603	-0.748740407
